# Convergence Analysis with parameters:
#   scheme              : euler
#   Final time T        : 3.000000
#   Number of particles : 10000
#
# dt                  Strong              Weak-($h(X)=X$)     Weak-($h(X)=X^2$)   
  0.000244            0.012197            0.000150            0.000634            
  0.003297            0.067508            0.003227            0.006536            
  0.003542            0.071292            0.002665            0.009318            
  0.003788            0.073740            0.003093            0.013469            
  0.004032            0.076973            0.003013            0.013750            
  0.004274            0.080120            0.003401            0.007550            
  0.004518            0.082775            0.004171            0.009616            
  0.004762            0.085872            0.003418            0.009052            
  0.005008            0.087856            0.003652            0.013666            

# Order j             0.607 +- 0.004      1.221 +- 0.109      1.147 +- 0.200      
# Factor K            2.182 +- 0.049      2.638 +- 1.604      5.415 +- 6.048      
  0.000366            0.017437            0.000026            0.001010            
  0.000610            0.024925            0.000544            0.000730            
  0.000855            0.030800            0.000284            0.002167            
  0.001099            0.035745            0.000594            0.002717            
  0.001343            0.040175            0.000504            0.001948            
  0.001587            0.043928            0.000723            0.003143            
  0.001832            0.048060            0.001139            0.003939            
  0.002076            0.051548            0.001456            0.005777            
  0.002320            0.055453            0.002233            0.005992            
  0.002564            0.059018            0.001396            0.004643            
  0.002809            0.061209            0.001566            0.006565            
  0.003052            0.064959            0.002073            0.004715            
  0.003297            0.068590            0.001893            0.007046            
  0.003542            0.072034            0.003025            0.009267            
  0.003788            0.074765            0.002824            0.013618            
  0.004032            0.077431            0.002254            0.014090            
  0.004274            0.080724            0.001881            0.008798            
  0.004518            0.083292            0.003135            0.010239            
  0.004762            0.087237            0.003275            0.010071            
  0.005008            0.090766            0.003255            0.015202            

# Order j             0.616 +- 0.005      1.052 +- 0.140      1.197 +- 0.184      
# Factor K            2.325 +- 0.073      0.863 +- 0.677      7.596 +- 7.787      
  0.000366            0.017424            0.000496            0.000841            
  0.000610            0.024646            0.000594            0.000373            
  0.000855            0.030329            0.000783            0.002291            
  0.001099            0.035808            0.001016            0.002867            
  0.001343            0.040036            0.001196            0.001881            
  0.001587            0.043859            0.001768            0.003561            
  0.001832            0.047607            0.001446            0.004013            
  0.002076            0.051719            0.001734            0.006140            
  0.002320            0.054969            0.002690            0.005628            
  0.002564            0.058519            0.002037            0.004889            
  0.002809            0.061721            0.002262            0.007758            
  0.003052            0.065300            0.002497            0.005129            
  0.003297            0.067842            0.002813            0.007068            
  0.003542            0.070998            0.003812            0.009796            
  0.003788            0.074856            0.002844            0.013447            
  0.004032            0.077869            0.003330            0.013611            
  0.004274            0.080539            0.003626            0.009797            
  0.004518            0.083062            0.003448            0.010360            
  0.004762            0.086408            0.004545            0.010864            
  0.005008            0.089735            0.004923            0.015508            

# Order j             0.614 +- 0.004      0.984 +- 0.087      1.191 +- 0.160      
# Factor K            2.298 +- 0.053      0.810 +- 0.397      7.575 +- 6.745      
  0.000366            0.017586            0.000245            0.000881            
  0.000610            0.024707            0.000276            0.000452            
  0.000855            0.030427            0.000369            0.002191            
  0.001099            0.035320            0.000626            0.002538            
  0.001343            0.039739            0.000524            0.001641            
  0.001587            0.043681            0.000706            0.003076            
  0.001832            0.047632            0.000711            0.003811            
  0.002076            0.051208            0.001477            0.005620            
  0.002320            0.055037            0.001052            0.005245            
  0.002564            0.057912            0.001559            0.004598            
  0.002809            0.061793            0.001667            0.007340            
  0.003052            0.065034            0.001837            0.003796            
  0.003297            0.067832            0.001149            0.005695            
  0.003542            0.070416            0.002264            0.008606            
  0.003788            0.073893            0.002403            0.012435            
  0.004032            0.076688            0.002942            0.012661            
  0.004274            0.079546            0.002627            0.008488            
  0.004518            0.082306            0.003031            0.009769            
  0.004762            0.085316            0.004232            0.010291            
  0.005008            0.089075            0.004870            0.013681            

# Order j             0.608 +- 0.004      1.754 +- 0.181      1.199 +- 0.176      
# Factor K            2.198 +- 0.045      45.737 +- 45.533    7.172 +- 7.049      
  0.000366            0.017511            0.000275            0.001190            
  0.000610            0.024766            0.000560            0.000636            
  0.000855            0.030871            0.000695            0.002671            
  0.001099            0.035377            0.000629            0.003218            
  0.001343            0.039568            0.000891            0.002502            
  0.001587            0.043854            0.001326            0.004047            
  0.001832            0.047467            0.001430            0.004682            
  0.002076            0.051474            0.001983            0.006563            
  0.002320            0.054671            0.001312            0.005726            
  0.002564            0.058750            0.001405            0.005480            
  0.002809            0.061784            0.001970            0.008013            
  0.003052            0.064245            0.002670            0.004813            
  0.003297            0.068432            0.002732            0.007274            
  0.003542            0.070962            0.002215            0.009960            
  0.003788            0.074658            0.002559            0.013478            
  0.004032            0.077076            0.003674            0.014032            
  0.004274            0.080426            0.003243            0.010192            
  0.004518            0.082958            0.003180            0.010900            
  0.004762            0.086801            0.003240            0.011231            
  0.005008            0.090359            0.003269            0.015880            

# Order j             0.617 +- 0.005      0.944 +- 0.096      1.125 +- 0.150      
# Factor K            2.328 +- 0.073      0.531 +- 0.286      5.417 +- 4.530      
  0.000366            0.017525            0.000412            0.001259            
  0.000610            0.024765            0.000827            0.000865            
  0.000855            0.030819            0.000745            0.002458            
  0.001099            0.035895            0.001167            0.003255            
  0.001343            0.040110            0.000776            0.002147            
  0.001587            0.044077            0.001278            0.003542            
  0.001832            0.048122            0.001010            0.004499            
  0.002076            0.051672            0.001240            0.006228            
  0.002320            0.054759            0.001459            0.006020            
  0.002564            0.058272            0.001660            0.004958            
  0.002809            0.061500            0.001702            0.007351            
  0.003052            0.065357            0.002455            0.005080            
  0.003297            0.067861            0.002389            0.007130            
  0.003542            0.070582            0.002191            0.009745            
  0.003788            0.074596            0.002380            0.013705            
  0.004032            0.077929            0.002591            0.014620            
  0.004274            0.080592            0.002622            0.009590            
  0.004518            0.083805            0.003199            0.011844            
  0.004762            0.086719            0.003883            0.011665            
  0.005008            0.089340            0.004299            0.015782            

# Order j             0.612 +- 0.005      1.108 +- 0.110      1.198 +- 0.159      
# Factor K            2.269 +- 0.065      1.299 +- 0.796      8.180 +- 7.243      
  0.000366            0.017568            0.000311            0.001124            
  0.000610            0.024880            0.000470            0.000747            
  0.000855            0.030762            0.000319            0.002837            
  0.001099            0.035825            0.000741            0.002871            
  0.001343            0.040218            0.000329            0.001821            
  0.001587            0.044092            0.000535            0.003643            
  0.001832            0.047782            0.000766            0.004421            
  0.002076            0.051533            0.000635            0.005967            
  0.002320            0.055244            0.001504            0.006001            
  0.002564            0.057726            0.001691            0.005526            
  0.002809            0.061986            0.001419            0.007307            
  0.003052            0.065048            0.001424            0.004750            
  0.003297            0.068506            0.002568            0.006932            
  0.003542            0.070160            0.001776            0.008454            
  0.003788            0.074628            0.001395            0.013138            
  0.004032            0.076521            0.003526            0.012605            
  0.004274            0.080534            0.003741            0.008664            
  0.004518            0.083580            0.003798            0.009985            
  0.004762            0.086125            0.003801            0.009017            
  0.005008            0.089420            0.003974            0.014175            

# Order j             0.609 +- 0.005      1.683 +- 0.210      1.037 +- 0.157      
# Factor K            2.224 +- 0.068      31.071 +- 35.962    2.995 +- 2.644      
  0.000366            0.017377            0.000335            0.000774            
  0.000610            0.024674            0.000307            0.000467            
  0.000855            0.030806            0.000181            0.002154            
  0.001099            0.036227            0.000552            0.002746            
  0.001343            0.040189            0.000597            0.001739            
  0.001587            0.044437            0.000827            0.003323            
  0.001832            0.048246            0.001060            0.004056            
  0.002076            0.052113            0.001057            0.005389            
  0.002320            0.055589            0.001282            0.005875            
  0.002564            0.059043            0.000881            0.004845            
  0.002809            0.062215            0.001548            0.007078            
  0.003052            0.066212            0.001688            0.004372            
  0.003297            0.068421            0.001409            0.006307            
  0.003542            0.071535            0.001624            0.008709            
  0.003788            0.074878            0.001877            0.013266            
  0.004032            0.078372            0.001818            0.013315            
  0.004274            0.081336            0.001864            0.008496            
  0.004518            0.084169            0.002473            0.009785            
  0.004762            0.087828            0.001940            0.009606            
  0.005008            0.090575            0.001823            0.013344            

# Order j             0.616 +- 0.005      0.858 +- 0.094      1.123 +- 0.176      
# Factor K            2.338 +- 0.064      0.206 +- 0.109      4.756 +- 4.677      
  0.000366            0.017475            0.000167            0.000956            
  0.000610            0.024984            0.000233            0.000850            
  0.000855            0.030745            0.000385            0.002593            
  0.001099            0.035908            0.000466            0.002403            
  0.001343            0.040181            0.000635            0.001905            
  0.001587            0.044340            0.000710            0.003025            
  0.001832            0.047848            0.000973            0.003876            
  0.002076            0.052188            0.000680            0.005808            
  0.002320            0.055398            0.001143            0.004782            
  0.002564            0.058514            0.000361            0.005137            
  0.002809            0.061719            0.001537            0.007092            
  0.003052            0.064848            0.001190            0.004105            
  0.003297            0.068118            0.001945            0.006600            
  0.003542            0.071030            0.002039            0.008837            
  0.003788            0.075275            0.002487            0.012837            
  0.004032            0.077469            0.001900            0.014941            
  0.004274            0.081147            0.002839            0.009387            
  0.004518            0.083996            0.002788            0.010090            
  0.004762            0.086180            0.003253            0.010276            
  0.005008            0.090024            0.003900            0.015536            

# Order j             0.612 +- 0.005      1.688 +- 0.169      1.257 +- 0.196      
# Factor K            2.268 +- 0.065      27.088 +- 25.159    10.605 +- 11.547    
  0.000366            0.017519            0.000220            0.000996            
  0.000610            0.024984            0.000346            0.000778            
  0.000855            0.030731            0.000413            0.002351            
  0.001099            0.035477            0.000707            0.002663            
  0.001343            0.040405            0.000672            0.001817            
  0.001587            0.043863            0.000767            0.003547            
  0.001832            0.048141            0.001666            0.003823            
  0.002076            0.051343            0.001390            0.005584            
  0.002320            0.055394            0.001408            0.004993            
  0.002564            0.058610            0.001040            0.004768            
  0.002809            0.062034            0.001429            0.007849            
  0.003052            0.065258            0.002205            0.004794            
  0.003297            0.068058            0.001642            0.006215            
  0.003542            0.070611            0.002254            0.008957            
  0.003788            0.074502            0.002335            0.012972            
  0.004032            0.077892            0.001511            0.013594            
  0.004274            0.079933            0.002215            0.008665            
  0.004518            0.083050            0.002988            0.010111            
  0.004762            0.086534            0.002742            0.010497            
  0.005008            0.089613            0.002774            0.014527            

# Order j             0.609 +- 0.004      0.944 +- 0.122      1.183 +- 0.172      
# Factor K            2.233 +- 0.057      0.415 +- 0.284      6.863 +- 6.566      
# Order j             0.612 +- 0.001      1.181 +- 0.048      1.154 +- 0.047      
# Factor K            2.263 +- 0.019      1.895 +- 0.510      5.955 +- 1.573      

# Order j             0.612 +- 0.001      1.181 +- 0.048      1.154 +- 0.047      
# Factor K            2.263 +- 0.019      1.895 +- 0.510      5.955 +- 1.573      

  0.000122            0.009639            0.000144            0.000339            
  0.000203            0.013511            0.000213            0.000400            
  0.000285            0.016498            0.000104            0.000615            
  0.000366            0.019000            0.000263            0.000653            
  0.000448            0.021373            0.000340            0.000552            
  0.000529            0.023432            0.000272            0.000897            
  0.000611            0.025526            0.000453            0.001095            
  0.000692            0.026930            0.000444            0.001632            
  0.000773            0.029200            0.000326            0.001492            
  0.000855            0.030695            0.000349            0.000991            
  0.000936            0.032195            0.000430            0.001997            
  0.001017            0.033904            0.000475            0.001183            
  0.001099            0.034783            0.000348            0.001274            
  0.001181            0.036902            0.000408            0.002566            
  0.001263            0.037928            0.000310            0.003215            
  0.001344            0.039162            0.000554            0.003233            
  0.001425            0.040638            0.001160            0.001910            
  0.001506            0.041811            0.000884            0.001958            
  0.001587            0.043008            0.000962            0.001993            
  0.001669            0.044213            0.001077            0.003208            

# Order j             0.560 +- 0.004      1.206 +- 0.249      0.916 +- 0.191      
# Factor K            1.589 +- 0.041      2.104 +- 3.493      0.977 +- 1.259      

